siteId,Time,traffic_count
3603,2020-11-09,6706.714285714285
3603,2020-11-16,7031.714285714285
3603,2020-11-23,7127.428571428572
3603,2020-11-30,3556.285714285714
3603,2020-12-07,0.0
3603,2020-12-14,0.0
3603,2020-12-21,6870.142857142857
3603,2020-12-28,7449.142857142857
3603,2021-01-04,5040.0
3603,2021-01-11,5321.571428571428
3603,2021-01-18,4998.571428571428
3603,2021-01-25,5138.571428571428
3603,2021-02-01,5389.142857142857
3603,2021-02-08,5548.285714285715
3603,2021-02-15,5355.571428571428
3603,2021-02-22,6080.428571428572
3603,2021-03-01,6175.142857142857
3603,2021-03-08,6422.285714285715
3603,2021-03-15,6750.857142857143
3603,2021-03-22,6113.0
3603,2021-03-29,6205.0
3603,2021-04-05,6400.571428571428
3603,2021-04-12,7310.142857142857
3603,2021-04-19,7582.571428571428
3603,2021-04-26,7988.428571428572
3603,2021-05-03,7787.857142857143
3603,2021-05-10,8205.42857142857
3603,2021-05-17,9956.714285714286
3603,2021-05-24,10422.142857142857
3603,2021-05-31,11226.0
3603,2021-06-07,13402.857142857143
3603,2021-06-14,12848.42857142857
3603,2021-06-21,12729.285714285714
3603,2021-06-28,13094.285714285714
3603,2021-07-05,13568.285714285714
3603,2021-07-12,14069.142857142857
3603,2021-07-19,15283.42857142857
3603,2021-07-26,15674.42857142857
3603,2021-08-02,15449.857142857143
3603,2021-08-09,14913.142857142857
3603,2021-08-16,15294.714285714286
3603,2021-08-23,15226.0
3603,2021-08-30,15418.0
3603,2021-09-06,13328.714285714286
3603,2021-09-13,14207.0
3603,2021-09-20,13429.0
3603,2021-09-27,13485.285714285714
3603,2021-10-04,12278.666666666666
3604,2020-02-03,26070.0
3604,2020-02-10,28445.285714285714
3604,2020-02-17,28653.85714285714
3604,2020-02-24,30257.85714285714
3604,2020-03-02,28667.85714285714
3604,2020-03-09,30555.571428571428
3604,2020-03-16,24488.714285714286
3604,2020-03-23,15271.0
3604,2020-03-30,12179.142857142857
3604,2020-04-06,8484.285714285714
3604,2020-04-13,6983.714285714285
3604,2020-04-20,8461.0
3604,2020-04-27,9094.857142857143
3604,2020-05-04,8161.857142857143
3604,2020-05-11,10397.714285714286
3604,2020-05-18,11376.285714285714
3604,2020-05-25,13552.714285714286
3604,2020-06-01,13234.57142857143
3604,2020-06-08,15863.57142857143
3604,2020-06-15,18094.14285714286
3604,2020-06-22,19173.14285714286
3604,2020-06-29,20520.285714285714
3604,2020-07-06,23467.85714285714
3604,2020-07-13,24968.0
3604,2020-07-20,26286.14285714286
3604,2020-07-27,26902.14285714286
3604,2020-08-03,26029.14285714286
3604,2020-08-10,27331.85714285714
3604,2020-08-17,27631.85714285714
3604,2020-08-24,26793.428571428572
3604,2020-08-31,26660.714285714286
3604,2020-09-07,26350.85714285714
3604,2020-09-14,26326.714285714286
3604,2020-09-21,27064.14285714286
3604,2020-09-28,26445.428571428572
3604,2020-10-05,24637.714285714286
3604,2020-10-12,21334.285714285714
3604,2020-10-19,21114.714285714286
3604,2020-10-26,15658.285714285714
3604,2020-11-02,16528.85714285714
3604,2020-11-09,18142.428571428572
3604,2020-11-16,18763.428571428572
3604,2020-11-23,19237.428571428572
3604,2020-11-30,20076.85714285714
3604,2020-12-07,23686.85714285714
3604,2020-12-14,24381.0
3604,2020-12-21,26835.85714285714
3604,2020-12-28,15916.285714285714
3604,2021-01-04,12049.285714285714
3604,2021-01-11,14917.57142857143
3604,2021-01-18,14286.142857142857
3604,2021-01-25,14509.57142857143
3604,2021-02-01,14927.57142857143
3604,2021-02-08,15473.0
3604,2021-02-15,15413.57142857143
3604,2021-02-22,16279.714285714286
3604,2021-03-01,16842.85714285714
3604,2021-03-08,17570.85714285714
3604,2021-03-15,18204.714285714286
3604,2021-03-22,16251.57142857143
3604,2021-03-29,16840.571428571428
3604,2021-04-05,16234.0
3604,2021-04-12,19007.0
3604,2021-04-19,21025.14285714286
3604,2021-04-26,21799.0
3604,2021-05-03,20440.571428571428
3604,2021-05-10,22300.0
3604,2021-05-17,24732.85714285714
3604,2021-05-24,25531.14285714286
3604,2021-05-31,26244.714285714286
3604,2021-06-07,27185.0
3604,2021-06-14,28030.14285714286
3604,2021-06-21,28126.428571428572
3604,2021-06-28,28557.571428571428
3604,2021-07-05,28808.0
3604,2021-07-12,29226.85714285714
3604,2021-07-19,29995.14285714286
3604,2021-07-26,30126.571428571428
3604,2021-08-02,28646.85714285714
3604,2021-08-09,28987.85714285714
3604,2021-08-16,29194.14285714286
3604,2021-08-23,29912.714285714286
3604,2021-08-30,30296.428571428572
3604,2021-09-06,28784.285714285714
3604,2021-09-13,29324.0
3604,2021-09-20,29274.428571428572
3604,2021-09-27,29259.14285714286
3604,2021-10-04,30051.333333333332
3605,2020-02-03,1537.0
3605,2020-02-10,2121.5714285714284
3605,2020-02-17,2176.1428571428573
3605,2020-02-24,1990.2857142857142
3605,2020-03-02,2079.5714285714284
3605,2020-03-09,2048.285714285714
3605,2020-03-16,1792.857142857143
3605,2020-03-23,1123.0
3605,2020-03-30,1012.1428571428571
3605,2020-04-06,725.1428571428571
3605,2020-04-13,538.2857142857143
3605,2020-04-20,667.8571428571429
3605,2020-04-27,695.5714285714286
3605,2020-05-04,567.0
3605,2020-05-11,766.4285714285714
3605,2020-05-18,871.8571428571429
3605,2020-05-25,1061.142857142857
3605,2020-06-01,989.8571428571429
3605,2020-06-08,1235.142857142857
3605,2020-06-15,1344.4285714285713
3605,2020-06-22,1363.5714285714287
3605,2020-06-29,1388.4285714285713
3605,2020-07-06,1447.142857142857
3605,2020-07-13,1512.142857142857
3605,2020-07-20,1496.142857142857
3605,2020-07-27,1540.7142857142858
3605,2020-08-03,1318.4285714285713
3605,2020-08-10,1434.142857142857
3605,2020-08-17,1488.857142857143
3605,2020-08-24,1499.2857142857142
3605,2020-08-31,1520.5714285714287
3605,2020-09-07,1597.5714285714287
3605,2020-09-14,1669.857142857143
3605,2020-09-21,1555.142857142857
3605,2020-09-28,1583.142857142857
3605,2020-10-05,1623.5714285714287
3605,2020-10-12,1443.2857142857142
3605,2020-10-19,1488.857142857143
3605,2020-10-26,1117.4285714285713
3605,2020-11-02,1178.857142857143
3605,2020-11-09,1284.142857142857
3605,2020-11-16,1295.0
3605,2020-11-23,1332.857142857143
3605,2020-11-30,1425.857142857143
3605,2020-12-07,1656.857142857143
3605,2020-12-14,1646.2857142857142
3605,2020-12-21,1772.2857142857142
3605,2020-12-28,899.8571428571429
3605,2021-01-04,738.4285714285714
3605,2021-01-11,1149.5714285714287
3605,2021-01-18,1083.7142857142858
3605,2021-01-25,1142.142857142857
3605,2021-02-01,1155.5714285714287
3605,2021-02-08,1183.142857142857
3605,2021-02-15,1189.857142857143
3605,2021-02-22,1253.142857142857
3605,2021-03-01,1318.857142857143
3605,2021-03-08,1327.857142857143
3605,2021-03-15,1348.4285714285713
3605,2021-03-22,1228.0
3605,2021-03-29,1339.4285714285713
3605,2021-04-05,1164.5714285714287
3605,2021-04-12,1414.857142857143
3605,2021-04-19,1492.7142857142858
3605,2021-04-26,1572.7142857142858
3605,2021-05-03,1445.0
3605,2021-05-10,1597.7142857142858
3605,2021-05-17,1613.5714285714287
3605,2021-05-24,1655.4285714285713
3605,2021-05-31,1676.0
3605,2021-06-07,1529.142857142857
3605,2021-06-14,1690.7142857142858
3605,2021-06-21,1768.857142857143
3605,2021-06-28,1748.4285714285713
3605,2021-07-05,1744.2857142857142
3605,2021-07-12,1707.4285714285713
3605,2021-07-19,1706.0
3605,2021-07-26,1651.2857142857142
3605,2021-08-02,1377.142857142857
3605,2021-08-09,1548.857142857143
3605,2021-08-16,1840.4285714285713
3605,2021-08-23,1619.857142857143
3605,2021-08-30,1622.142857142857
3605,2021-09-06,1719.142857142857
3605,2021-09-13,1735.7142857142858
3605,2021-09-20,1770.4285714285713
3605,2021-09-27,1755.4285714285713
3605,2021-10-04,2183.0
3701,2020-02-03,10654.0
3701,2020-02-10,11513.285714285714
3701,2020-02-17,10674.0
3701,2020-02-24,10872.42857142857
3701,2020-03-02,11636.42857142857
3701,2020-03-09,12008.42857142857
3701,2020-03-16,9443.714285714286
3701,2020-03-23,5562.285714285715
3701,2020-03-30,4531.571428571428
3701,2020-04-06,2975.4285714285716
3701,2020-04-13,2433.8571428571427
3701,2020-04-20,3020.4285714285716
3701,2020-04-27,3215.4285714285716
3701,2020-05-04,2905.285714285714
3701,2020-05-11,3772.4285714285716
3701,2020-05-18,4270.285714285715
3701,2020-05-25,5219.428571428572
3701,2020-06-01,5035.142857142857
3701,2020-06-08,6044.0
3701,2020-06-15,6700.428571428572
3701,2020-06-22,7341.428571428572
3701,2020-06-29,8479.42857142857
3701,2020-07-06,7431.142857142857
3701,2020-07-13,0.0
3701,2020-07-20,0.0
